CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,seriousness,customer,product,responsible_section,service_level,service_type,support_section,workgroup
Case 1604,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 1', 'Value 1', 'Value 3']","[0.0, 1358618.0, 1377970.0, 3024580.0, 4320597.0]","[nan, 1358618.0, 19352.0, 1646610.0, 1296017.0]","[2.0, 4.0, 4.0, 2.0, 3.0]","[53997.0, 30215.0, 49567.0, 54577.0, 54594.0]",Value 1,Value 97,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1605,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[38270.0],Value 1,Value 304,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1605,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 678557.0]","[nan, 678557.0]","[3.0, 4.0]","[38270.0, 25627.0]",Value 1,Value 304,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1605,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 1', 'Value 2', 'Value 4']","[0.0, 678557.0, 1548231.0]","[nan, 678557.0, 869674.0]","[3.0, 4.0, 0.0]","[38270.0, 25627.0, 31301.0]",Value 1,Value 304,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1605,4,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 2', 'Value 4', 'Value 4']","[0.0, 678557.0, 1548231.0, 1548745.0]","[nan, 678557.0, 869674.0, 514.0]","[3.0, 4.0, 0.0, 0.0]","[38270.0, 25627.0, 31301.0, 31815.0]",Value 1,Value 304,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1605,5,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 4', 'Value 4', 'Value 4']","[0.0, 678557.0, 1548231.0, 1548745.0, 1550272.0]","[nan, 678557.0, 869674.0, 514.0, 1527.0]","[3.0, 4.0, 0.0, 0.0, 0.0]","[38270.0, 25627.0, 31301.0, 31815.0, 33342.0]",Value 1,Value 304,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1605,6,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 1', 'Value 2', 'Value 4', 'Value 4', 'Value 4', 'Value 3']","[0.0, 678557.0, 1548231.0, 1548745.0, 1550272.0, 2846287.0]","[nan, 678557.0, 869674.0, 514.0, 1527.0, 1296015.0]","[3.0, 4.0, 0.0, 0.0, 0.0, 1.0]","[38270.0, 25627.0, 31301.0, 31815.0, 33342.0, 33357.0]",Value 1,Value 304,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1606,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[3.0],[35437.0],Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[0.0, 12.0]","[nan, 12.0]","[3.0, 3.0]","[35437.0, 35449.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 9', 'Value 9']","[0.0, 12.0, 412.0]","[nan, 12.0, 400.0]","[3.0, 3.0, 3.0]","[35437.0, 35449.0, 35849.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 9', 'Value 9', 'Value 9', 'Value 9']","[0.0, 12.0, 412.0, 701442.0]","[nan, 12.0, 400.0, 701030.0]","[3.0, 3.0, 3.0, 4.0]","[35437.0, 35449.0, 35849.0, 45679.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket']","['Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[0.0, 12.0, 412.0, 701442.0, 1201693.0]","[nan, 12.0, 400.0, 701030.0, 500251.0]","[3.0, 3.0, 3.0, 4.0, 3.0]","[35437.0, 35449.0, 35849.0, 45679.0, 27530.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[0.0, 12.0, 412.0, 701442.0, 1201693.0, 1204144.0]","[nan, 12.0, 400.0, 701030.0, 500251.0, 2451.0]","[3.0, 3.0, 3.0, 4.0, 3.0, 3.0]","[35437.0, 35449.0, 35849.0, 45679.0, 27530.0, 29981.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,7,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9']","[0.0, 12.0, 412.0, 701442.0, 1201693.0, 1204144.0, 1816515.0]","[nan, 12.0, 400.0, 701030.0, 500251.0, 2451.0, 612371.0]","[3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0]","[35437.0, 35449.0, 35849.0, 45679.0, 27530.0, 29981.0, 37552.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1606,8,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 9', 'Value 5']","[0.0, 12.0, 412.0, 701442.0, 1201693.0, 1204144.0, 1816515.0, 3112530.0]","[nan, 12.0, 400.0, 701030.0, 500251.0, 2451.0, 612371.0, 1296015.0]","[3.0, 3.0, 3.0, 4.0, 3.0, 3.0, 3.0, 4.0]","[35437.0, 35449.0, 35849.0, 45679.0, 27530.0, 29981.0, 37552.0, 37567.0]",Value 1,Value 186,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1609,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[0.0],[40845.0],Value 1,Value 198,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1609,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 1']","[0.0, 1194290.0]","[nan, 1194290.0]","[0.0, 0.0]","[40845.0, 25535.0]",Value 1,Value 198,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1609,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 14', 'Value 1', 'Value 1']","[0.0, 1194290.0, 1205387.0]","[nan, 1194290.0, 11097.0]","[0.0, 0.0, 0.0]","[40845.0, 25535.0, 36632.0]",Value 1,Value 198,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1609,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 14', 'Value 1', 'Value 1', 'Value 4']","[0.0, 1194290.0, 1205387.0, 1799780.0]","[nan, 1194290.0, 11097.0, 594393.0]","[0.0, 0.0, 0.0, 0.0]","[40845.0, 25535.0, 36632.0, 26225.0]",Value 1,Value 198,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1609,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 14', 'Value 1', 'Value 1', 'Value 4', 'Value 3']","[0.0, 1194290.0, 1205387.0, 1799780.0, 3095803.0]","[nan, 1194290.0, 11097.0, 594393.0, 1296023.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[40845.0, 25535.0, 36632.0, 26225.0, 26248.0]",Value 1,Value 198,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1611,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[1.0],[54141.0],Value 1,Value 101,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1611,2,"['Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 8']","[0.0, 590.0]","[nan, 590.0]","[1.0, 1.0]","[54141.0, 54731.0]",Value 1,Value 101,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1611,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 8']","[0.0, 590.0, 78698.0]","[nan, 590.0, 78108.0]","[1.0, 1.0, 2.0]","[54141.0, 54731.0, 46439.0]",Value 1,Value 101,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1611,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 8']","[0.0, 590.0, 78698.0, 78709.0]","[nan, 590.0, 78108.0, 11.0]","[1.0, 1.0, 2.0, 2.0]","[54141.0, 54731.0, 46439.0, 46450.0]",Value 1,Value 101,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1611,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 8', 'Value 8', 'Value 8', 'Value 8', 'Value 5']","[0.0, 590.0, 78698.0, 78709.0, 5011685.0]","[nan, 590.0, 78108.0, 11.0, 4932976.0]","[1.0, 1.0, 2.0, 2.0, 3.0]","[54141.0, 54731.0, 46439.0, 46450.0, 54626.0]",Value 1,Value 101,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 1613,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[3.0],[51856.0],Value 1,Value 47,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1613,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 15']","[0.0, 63845.0]","[nan, 63845.0]","[3.0, 4.0]","[51856.0, 29301.0]",Value 1,Value 47,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1613,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 15', 'Value 15']","[0.0, 63845.0, 82674.0]","[nan, 63845.0, 18829.0]","[3.0, 4.0, 4.0]","[51856.0, 29301.0, 48130.0]",Value 1,Value 47,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1613,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 15', 'Value 15', 'Value 5']","[0.0, 63845.0, 82674.0, 2851566.0]","[nan, 63845.0, 18829.0, 2768892.0]","[3.0, 4.0, 4.0, 1.0]","[51856.0, 29301.0, 48130.0, 52222.0]",Value 1,Value 47,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1615,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[46748.0],Value 1,Value 22,Value 15,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1615,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 3']","[0.0, 1285.0]","[nan, 1285.0]","[3.0, 3.0]","[46748.0, 48033.0]",Value 1,Value 22,Value 15,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1615,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 3', 'Value 2']","[0.0, 1285.0, 1197824.0]","[nan, 1285.0, 1196539.0]","[3.0, 3.0, 3.0]","[46748.0, 48033.0, 34972.0]",Value 1,Value 22,Value 15,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1615,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 3', 'Value 2', 'Value 1']","[0.0, 1285.0, 1197824.0, 2520205.0]","[nan, 1285.0, 1196539.0, 1322381.0]","[3.0, 3.0, 3.0, 4.0]","[46748.0, 48033.0, 34972.0, 61353.0]",Value 1,Value 22,Value 15,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1615,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 1', 'Value 3', 'Value 2', 'Value 1', 'Value 3']","[0.0, 1285.0, 1197824.0, 2520205.0, 3816217.0]","[nan, 1285.0, 1196539.0, 1322381.0, 1296012.0]","[3.0, 3.0, 3.0, 4.0, 5.0]","[46748.0, 48033.0, 34972.0, 61353.0, 61365.0]",Value 1,Value 22,Value 15,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1617,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[3.0],[25523.0],Value 1,Value 35,Value 3,Value 1,Value 3,Value 2,Value 1,Value 1
Case 1617,2,"['Assign seriousness', 'Wait']","['Value 9', 'Value 6']","[0.0, 6477.0]","[nan, 6477.0]","[3.0, 3.0]","[25523.0, 32000.0]",Value 1,Value 35,Value 3,Value 1,Value 3,Value 2,Value 1,Value 1
Case 1617,3,"['Assign seriousness', 'Wait', 'Take in charge ticket']","['Value 9', 'Value 6', 'Value 12']","[0.0, 6477.0, 2967139.0]","[nan, 6477.0, 2960662.0]","[3.0, 3.0, 2.0]","[25523.0, 32000.0, 55062.0]",Value 1,Value 35,Value 3,Value 1,Value 3,Value 2,Value 1,Value 1
Case 1617,4,"['Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 6', 'Value 12', 'Value 12']","[0.0, 6477.0, 2967139.0, 2967147.0]","[nan, 6477.0, 2960662.0, 8.0]","[3.0, 3.0, 2.0, 2.0]","[25523.0, 32000.0, 55062.0, 55070.0]",Value 1,Value 35,Value 3,Value 1,Value 3,Value 2,Value 1,Value 1
Case 1617,5,"['Assign seriousness', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 9', 'Value 6', 'Value 12', 'Value 12', 'Value 5']","[0.0, 6477.0, 2967139.0, 2967147.0, 4263168.0]","[nan, 6477.0, 2960662.0, 8.0, 1296021.0]","[3.0, 3.0, 2.0, 2.0, 3.0]","[25523.0, 32000.0, 55062.0, 55070.0, 55091.0]",Value 1,Value 35,Value 3,Value 1,Value 3,Value 2,Value 1,Value 1
Case 1619,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[51418.0],Value 1,Value 33,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1619,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 1']","[0.0, 37.0]","[nan, 37.0]","[1.0, 1.0]","[51418.0, 51455.0]",Value 1,Value 33,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1619,3,"['Assign seriousness', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1']","[0.0, 37.0, 37.0]","[nan, 37.0, 37.0]","[1.0, 1.0, 1.0]","[51418.0, 51455.0, 51455.0]",Value 1,Value 33,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1619,4,"['Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 1', 'Value 5']","[0.0, 37.0, 37.0, 3974598.0]","[nan, 37.0, 37.0, 3974561.0]","[1.0, 1.0, 1.0, 5.0]","[51418.0, 51455.0, 51455.0, 51616.0]",Value 1,Value 33,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 162,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[56863.0],Value 1,Value 93,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 162,2,"['Assign seriousness', 'Assign seriousness']","['Value 1', 'Value 2']","[0.0, 250887.0]","[nan, 250887.0]","[1.0, 4.0]","[56863.0, 48550.0]",Value 1,Value 93,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 162,3,"['Assign seriousness', 'Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 2']","[0.0, 250887.0, 250937.0]","[nan, 250887.0, 50.0]","[1.0, 4.0, 4.0]","[56863.0, 48550.0, 48600.0]",Value 1,Value 93,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 162,4,"['Assign seriousness', 'Assign seriousness', 'Resolve ticket', 'Closed']","['Value 1', 'Value 2', 'Value 2', 'Value 5']","[0.0, 250887.0, 250937.0, 3805482.0]","[nan, 250887.0, 50.0, 3554545.0]","[1.0, 4.0, 4.0, 3.0]","[56863.0, 48550.0, 48600.0, 60745.0]",Value 1,Value 93,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[3.0],[40328.0],Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 13']","[0.0, 691762.0]","[nan, 691762.0]","[3.0, 4.0]","[40328.0, 40890.0]",Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 13', 'Value 13']","[0.0, 691762.0, 949437.0]","[nan, 691762.0, 257675.0]","[3.0, 4.0, 0.0]","[40328.0, 40890.0, 39365.0]",Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 9', 'Value 13', 'Value 13', 'Value 13']","[0.0, 691762.0, 949437.0, 965071.0]","[nan, 691762.0, 257675.0, 15634.0]","[3.0, 4.0, 0.0, 0.0]","[40328.0, 40890.0, 39365.0, 54999.0]",Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait']","['Value 9', 'Value 13', 'Value 13', 'Value 13', 'Value 13']","[0.0, 691762.0, 949437.0, 965071.0, 1141939.0]","[nan, 691762.0, 257675.0, 15634.0, 176868.0]","[3.0, 4.0, 0.0, 0.0, 2.0]","[40328.0, 40890.0, 39365.0, 54999.0, 59067.0]",Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 9', 'Value 13', 'Value 13', 'Value 13', 'Value 13', 'Value 13']","[0.0, 691762.0, 949437.0, 965071.0, 1141939.0, 1285541.0]","[nan, 691762.0, 257675.0, 15634.0, 176868.0, 143602.0]","[3.0, 4.0, 0.0, 0.0, 2.0, 4.0]","[40328.0, 40890.0, 39365.0, 54999.0, 59067.0, 29869.0]",Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1620,7,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 9', 'Value 13', 'Value 13', 'Value 13', 'Value 13', 'Value 13', 'Value 5']","[0.0, 691762.0, 949437.0, 965071.0, 1141939.0, 1285541.0, 2957301.0]","[nan, 691762.0, 257675.0, 15634.0, 176868.0, 143602.0, 1671760.0]","[3.0, 4.0, 0.0, 0.0, 2.0, 4.0, 2.0]","[40328.0, 40890.0, 39365.0, 54999.0, 59067.0, 29869.0, 60029.0]",Value 1,Value 307,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[1.0],[30343.0],Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,2,"['Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 2']","[0.0, 284099.0]","[nan, 284099.0]","[1.0, 4.0]","[30343.0, 55242.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 2', 'Value 2']","[0.0, 284099.0, 284124.0]","[nan, 284099.0, 25.0]","[1.0, 4.0, 4.0]","[30343.0, 55242.0, 55267.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 2', 'Value 2', 'Value 14']","[0.0, 284099.0, 284124.0, 288651.0]","[nan, 284099.0, 25.0, 4527.0]","[1.0, 4.0, 4.0, 4.0]","[30343.0, 55242.0, 55267.0, 59794.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,5,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait']","['Value 8', 'Value 2', 'Value 2', 'Value 14', 'Value 14']","[0.0, 284099.0, 284124.0, 288651.0, 288652.0]","[nan, 284099.0, 25.0, 4527.0, 1.0]","[1.0, 4.0, 4.0, 4.0, 4.0]","[30343.0, 55242.0, 55267.0, 59794.0, 59795.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,6,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 2', 'Value 2', 'Value 14', 'Value 14', 'Value 14']","[0.0, 284099.0, 284124.0, 288651.0, 288652.0, 288672.0]","[nan, 284099.0, 25.0, 4527.0, 1.0, 20.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[30343.0, 55242.0, 55267.0, 59794.0, 59795.0, 59815.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,7,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 2', 'Value 2', 'Value 14', 'Value 14', 'Value 14', 'Value 14']","[0.0, 284099.0, 284124.0, 288651.0, 288652.0, 288672.0, 288692.0]","[nan, 284099.0, 25.0, 4527.0, 1.0, 20.0, 20.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[30343.0, 55242.0, 55267.0, 59794.0, 59795.0, 59815.0, 59835.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1622,8,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 8', 'Value 2', 'Value 2', 'Value 14', 'Value 14', 'Value 14', 'Value 14', 'Value 5']","[0.0, 284099.0, 284124.0, 288651.0, 288652.0, 288672.0, 288692.0, 2765081.0]","[nan, 284099.0, 25.0, 4527.0, 1.0, 20.0, 20.0, 2476389.0]","[1.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 5.0]","[30343.0, 55242.0, 55267.0, 59794.0, 59795.0, 59815.0, 59835.0, 30624.0]",Value 1,Value 59,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1623,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[36841.0],Value 1,Value 266,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1623,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[0.0, 271350.0]","[nan, 271350.0]","[1.0, 4.0]","[36841.0, 48991.0]",Value 1,Value 266,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1623,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 13', 'Value 13']","[0.0, 271350.0, 1206122.0]","[nan, 271350.0, 934772.0]","[1.0, 4.0, 1.0]","[36841.0, 48991.0, 33363.0]",Value 1,Value 266,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1623,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 13', 'Value 13', 'Value 5']","[0.0, 271350.0, 1206122.0, 2678777.0]","[nan, 271350.0, 934772.0, 1472655.0]","[1.0, 4.0, 1.0, 4.0]","[36841.0, 48991.0, 33363.0, 37218.0]",Value 1,Value 266,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1626,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[51792.0],Value 1,Value 138,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1626,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[0.0, 76725.0]","[nan, 76725.0]","[2.0, 3.0]","[51792.0, 42117.0]",Value 1,Value 138,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1626,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 4', 'Value 2']","[0.0, 76725.0, 3711484.0]","[nan, 76725.0, 3634759.0]","[2.0, 3.0, 3.0]","[51792.0, 42117.0, 48076.0]",Value 1,Value 138,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1626,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 4', 'Value 2', 'Value 5']","[0.0, 76725.0, 3711484.0, 5007495.0]","[nan, 76725.0, 3634759.0, 1296011.0]","[2.0, 3.0, 3.0, 4.0]","[51792.0, 42117.0, 48076.0, 48087.0]",Value 1,Value 138,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1627,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[0.0],[33673.0],Value 1,Value 51,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1627,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[0.0, 13.0]","[nan, 13.0]","[0.0, 0.0]","[33673.0, 33686.0]",Value 1,Value 51,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1627,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 9', 'Value 9']","[0.0, 13.0, 3346.0]","[nan, 13.0, 3333.0]","[0.0, 0.0, 0.0]","[33673.0, 33686.0, 37019.0]",Value 1,Value 51,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1627,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 9', 'Value 9', 'Value 9', 'Value 5']","[0.0, 13.0, 3346.0, 2679004.0]","[nan, 13.0, 3333.0, 2675658.0]","[0.0, 0.0, 0.0, 3.0]","[33673.0, 33686.0, 37019.0, 34277.0]",Value 1,Value 51,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1629,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[2.0],[56814.0],Value 1,Value 89,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1629,2,"['Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 8']","[0.0, 15.0]","[nan, 15.0]","[2.0, 2.0]","[56814.0, 56829.0]",Value 1,Value 89,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1629,3,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 8', 'Value 2']","[0.0, 15.0, 74160.0]","[nan, 15.0, 74145.0]","[2.0, 2.0, 3.0]","[56814.0, 56829.0, 44574.0]",Value 1,Value 89,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
