case:concept:name,prefix_length,concept:name,org:resource,org:role,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,case:Amount
declaration 114756,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 2678931.0, 3432079.0, 3579568.0]","[nan, 2678931.0, 753148.0, 147489.0]","[3.0, 6.0, 1.0, 3.0]","[80234.0, 80765.0, 56313.0, 31002.0]",272.73293533870674
declaration 114756,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 2678931.0, 3432079.0, 3579568.0, 3957250.0]","[nan, 2678931.0, 753148.0, 147489.0, 377682.0]","[3.0, 6.0, 1.0, 3.0, 0.0]","[80234.0, 80765.0, 56313.0, 31002.0, 63084.0]",272.73293533870674
declaration 114761,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[3.0],[80345.0],178.58750843341974
declaration 114761,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 14.0]","[nan, 14.0]","[3.0, 3.0]","[80345.0, 80359.0]",178.58750843341974
declaration 114761,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE']","[0.0, 14.0, 37988.0]","[nan, 14.0, 37974.0]","[3.0, 3.0, 4.0]","[80345.0, 80359.0, 31933.0]",178.58750843341974
declaration 114761,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE']","[0.0, 14.0, 37988.0, 47541.0]","[nan, 14.0, 37974.0, 9553.0]","[3.0, 3.0, 4.0, 4.0]","[80345.0, 80359.0, 31933.0, 41486.0]",178.58750843341974
declaration 114761,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE', 'ADMINISTRATION']","[0.0, 14.0, 37988.0, 47541.0, 47718.0]","[nan, 14.0, 37974.0, 9553.0, 177.0]","[3.0, 3.0, 4.0, 4.0, 4.0]","[80345.0, 80359.0, 31933.0, 41486.0, 41663.0]",178.58750843341974
declaration 114761,6,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 14.0, 37988.0, 47541.0, 47718.0, 49883.0]","[nan, 14.0, 37974.0, 9553.0, 177.0, 2165.0]","[3.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[80345.0, 80359.0, 31933.0, 41486.0, 41663.0, 43828.0]",178.58750843341974
declaration 114761,7,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 14.0, 37988.0, 47541.0, 47718.0, 49883.0, 66046.0]","[nan, 14.0, 37974.0, 9553.0, 177.0, 2165.0, 16163.0]","[3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[80345.0, 80359.0, 31933.0, 41486.0, 41663.0, 43828.0, 59991.0]",178.58750843341974
declaration 114761,8,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 14.0, 37988.0, 47541.0, 47718.0, 49883.0, 66046.0, 328328.0]","[nan, 14.0, 37974.0, 9553.0, 177.0, 2165.0, 16163.0, 262282.0]","[3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[80345.0, 80359.0, 31933.0, 41486.0, 41663.0, 43828.0, 59991.0, 63073.0]",178.58750843341974
declaration 114769,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[51499.0],24.5377175350171
declaration 114769,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 15.0]","[nan, 15.0]","[4.0, 4.0]","[51499.0, 51514.0]",24.5377175350171
declaration 114769,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 15.0, 257931.0]","[nan, 15.0, 257916.0]","[4.0, 4.0, 0.0]","[51499.0, 51514.0, 50230.0]",24.5377175350171
declaration 114769,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 15.0, 257931.0, 329626.0]","[nan, 15.0, 257916.0, 71695.0]","[4.0, 4.0, 0.0, 1.0]","[51499.0, 51514.0, 50230.0, 35525.0]",24.5377175350171
declaration 114769,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 15.0, 257931.0, 329626.0, 529996.0]","[nan, 15.0, 257916.0, 71695.0, 200370.0]","[4.0, 4.0, 0.0, 1.0, 3.0]","[51499.0, 51514.0, 50230.0, 35525.0, 63095.0]",24.5377175350171
declaration 114774,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[51579.0],161.55536923977476
declaration 114774,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 30.0]","[nan, 30.0]","[4.0, 4.0]","[51579.0, 51609.0]",161.55536923977476
declaration 114774,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 30.0, 257080.0]","[nan, 30.0, 257050.0]","[4.0, 4.0, 0.0]","[51579.0, 51609.0, 49459.0]",161.55536923977476
declaration 114774,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 30.0, 257080.0, 321444.0]","[nan, 30.0, 257050.0, 64364.0]","[4.0, 4.0, 0.0, 1.0]","[51579.0, 51609.0, 49459.0, 27423.0]",161.55536923977476
declaration 114774,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 30.0, 257080.0, 321444.0, 529916.0]","[nan, 30.0, 257050.0, 64364.0, 208472.0]","[4.0, 4.0, 0.0, 1.0, 3.0]","[51579.0, 51609.0, 49459.0, 27423.0, 63095.0]",161.55536923977476
declaration 114779,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[51691.0],24.5377175350171
declaration 114779,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 5277600.0]","[nan, 5277600.0]","[4.0, 2.0]","[51691.0, 58891.0]",24.5377175350171
declaration 114779,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 5277600.0, 5945862.0]","[nan, 5277600.0, 668262.0]","[4.0, 2.0, 3.0]","[51691.0, 58891.0, 35953.0]",24.5377175350171
declaration 114779,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 5277600.0, 5945862.0, 6057598.0]","[nan, 5277600.0, 668262.0, 111736.0]","[4.0, 2.0, 3.0, 4.0]","[51691.0, 58891.0, 35953.0, 61289.0]",24.5377175350171
declaration 114779,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 5277600.0, 5945862.0, 6057598.0, 6318579.0]","[nan, 5277600.0, 668262.0, 111736.0, 260981.0]","[4.0, 2.0, 3.0, 4.0, 0.0]","[51691.0, 58891.0, 35953.0, 61289.0, 63070.0]",24.5377175350171
declaration 114795,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[38638.0],0.0
declaration 114795,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 34.0]","[nan, 34.0]","[1.0, 1.0]","[38638.0, 38672.0]",0.0
declaration 114795,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE']","[0.0, 34.0, 11122.0]","[nan, 34.0, 11088.0]","[1.0, 1.0, 1.0]","[38638.0, 38672.0, 49760.0]",0.0
declaration 114805,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[64969.0],250.1887665044969
declaration 114805,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 6.0]","[nan, 6.0]","[1.0, 1.0]","[64969.0, 64975.0]",250.1887665044969
declaration 114805,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 6.0, 54912.0]","[nan, 6.0, 54906.0]","[1.0, 1.0, 2.0]","[64969.0, 64975.0, 33481.0]",250.1887665044969
declaration 114805,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 6.0, 54912.0, 171774.0]","[nan, 6.0, 54906.0, 116862.0]","[1.0, 1.0, 2.0, 3.0]","[64969.0, 64975.0, 33481.0, 63943.0]",250.1887665044969
declaration 114805,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 6.0, 54912.0, 171774.0, 516501.0]","[nan, 6.0, 54906.0, 116862.0, 344727.0]","[1.0, 1.0, 2.0, 3.0, 0.0]","[64969.0, 64975.0, 33481.0, 63943.0, 63070.0]",250.1887665044969
declaration 114816,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[1.0],[70293.0],533.1721578492102
declaration 114816,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 225.0]","[nan, 225.0]","[1.0, 1.0]","[70293.0, 70518.0]",533.1721578492102
declaration 114816,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 225.0, 49561.0]","[nan, 225.0, 49336.0]","[1.0, 1.0, 2.0]","[70293.0, 70518.0, 33454.0]",533.1721578492102
declaration 114816,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 225.0, 49561.0, 319451.0]","[nan, 225.0, 49336.0, 269890.0]","[1.0, 1.0, 2.0, 5.0]","[70293.0, 70518.0, 33454.0, 44144.0]",533.1721578492102
declaration 114816,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 225.0, 49561.0, 319451.0, 438044.0]","[nan, 225.0, 49336.0, 269890.0, 118593.0]","[1.0, 1.0, 2.0, 5.0, 6.0]","[70293.0, 70518.0, 33454.0, 44144.0, 76337.0]",533.1721578492102
declaration 114816,6,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 225.0, 49561.0, 319451.0, 438044.0, 770382.0]","[nan, 225.0, 49336.0, 269890.0, 118593.0, 332338.0]","[1.0, 1.0, 2.0, 5.0, 6.0, 3.0]","[70293.0, 70518.0, 33454.0, 44144.0, 76337.0, 63075.0]",533.1721578492102
declaration 114832,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[40440.0],191.79341146077417
declaration 114832,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 113.0]","[nan, 113.0]","[4.0, 4.0]","[40440.0, 40553.0]",191.79341146077417
declaration 114832,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 113.0, 249453.0]","[nan, 113.0, 249340.0]","[4.0, 4.0, 0.0]","[40440.0, 40553.0, 30693.0]",191.79341146077417
declaration 114832,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 113.0, 249453.0, 255465.0]","[nan, 113.0, 249340.0, 6012.0]","[4.0, 4.0, 0.0, 0.0]","[40440.0, 40553.0, 30693.0, 36705.0]",191.79341146077417
declaration 114832,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 113.0, 249453.0, 255465.0, 541035.0]","[nan, 113.0, 249340.0, 6012.0, 285570.0]","[4.0, 4.0, 0.0, 0.0, 3.0]","[40440.0, 40553.0, 30693.0, 36705.0, 63075.0]",191.79341146077417
declaration 114837,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[47361.0],46.06217001778951
declaration 114837,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 673.0]","[nan, 673.0]","[4.0, 4.0]","[47361.0, 48034.0]",46.06217001778951
declaration 114837,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 673.0, 249380.0]","[nan, 673.0, 248707.0]","[4.0, 4.0, 0.0]","[47361.0, 48034.0, 37541.0]",46.06217001778951
declaration 114837,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 673.0, 249380.0, 350915.0]","[nan, 673.0, 248707.0, 101535.0]","[4.0, 4.0, 0.0, 1.0]","[47361.0, 48034.0, 37541.0, 52676.0]",46.06217001778951
declaration 114837,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 673.0, 249380.0, 350915.0, 534114.0]","[nan, 673.0, 248707.0, 101535.0, 183199.0]","[4.0, 4.0, 0.0, 1.0, 3.0]","[47361.0, 48034.0, 37541.0, 52676.0, 63075.0]",46.06217001778951
declaration 114858,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[2.0],[36011.0],29.86733723201929
declaration 114858,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 46.0]","[nan, 46.0]","[2.0, 2.0]","[36011.0, 36057.0]",29.86733723201929
declaration 114858,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 46.0, 2417.0]","[nan, 46.0, 2371.0]","[2.0, 2.0, 2.0]","[36011.0, 36057.0, 38428.0]",29.86733723201929
declaration 114858,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 46.0, 2417.0, 104059.0]","[nan, 46.0, 2371.0, 101642.0]","[2.0, 2.0, 2.0, 3.0]","[36011.0, 36057.0, 38428.0, 53670.0]",29.86733723201929
declaration 114858,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION', 'Declaration FINAL_APPROVED by SUPERVISOR', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 46.0, 2417.0, 104059.0, 459062.0]","[nan, 46.0, 2371.0, 101642.0, 355003.0]","[2.0, 2.0, 2.0, 3.0, 0.0]","[36011.0, 36057.0, 38428.0, 53670.0, 63073.0]",29.86733723201929
declaration 114863,1,['Declaration SUBMITTED by EMPLOYEE'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[4.0],[50621.0],77.57557284368666
declaration 114863,2,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 849.0]","[nan, 849.0]","[4.0, 4.0]","[50621.0, 51470.0]",77.57557284368666
declaration 114863,3,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE']","[0.0, 849.0, 1768.0]","[nan, 849.0, 919.0]","[4.0, 4.0, 4.0]","[50621.0, 51470.0, 52389.0]",77.57557284368666
declaration 114863,4,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE']","[0.0, 849.0, 1768.0, 2891.0]","[nan, 849.0, 919.0, 1123.0]","[4.0, 4.0, 4.0, 4.0]","[50621.0, 51470.0, 52389.0, 53512.0]",77.57557284368666
declaration 114863,5,"['Declaration SUBMITTED by EMPLOYEE', 'Declaration REJECTED by ADMINISTRATION', 'Declaration REJECTED by EMPLOYEE', 'Declaration SUBMITTED by EMPLOYEE', 'Declaration APPROVED by ADMINISTRATION']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'EMPLOYEE', 'EMPLOYEE', 'ADMINISTRATION']","[0.0, 849.0, 1768.0, 2891.0, 2964.0]","[nan, 849.0, 919.0, 1123.0, 73.0]","[4.0, 4.0, 4.0, 4.0, 4.0]","[50621.0, 51470.0, 52389.0, 53512.0, 53585.0]",77.57557284368666
