case:concept:name,prefix_length,concept:name,org:resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day
c3108,8,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['0', '2', '34', '31', '28', '42', '33', '33']","[0.0, 72664.65625, 79548.4765625, 91339.0859375, 99032.796875, 162001.265625, 166596.46875, 168733.59375]","[nan, 72664.65625, 6883.8154296875, 11790.61328125, 7693.7080078125, 62968.47265625, 4595.19580078125, 2137.123046875]","[0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[59612.0, 45877.0, 52761.0, 64551.0, 72245.0, 48813.0, 53409.0, 55546.0]"
c3108,9,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['0', '2', '34', '31', '28', '42', '33', '33', '24']","[0.0, 72664.65625, 79548.4765625, 91339.0859375, 99032.796875, 162001.265625, 166596.46875, 168733.59375, 183181.71875]","[nan, 72664.65625, 6883.8154296875, 11790.61328125, 7693.7080078125, 62968.47265625, 4595.19580078125, 2137.123046875, 14448.126953125]","[0.0, 1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0]","[59612.0, 45877.0, 52761.0, 64551.0, 72245.0, 48813.0, 53409.0, 55546.0, 69994.0]"
c3107,1,['RECEPTION'],['29'],[0.0],[nan],[0.0],[66626.0]
c3107,2,"['RECEPTION', 'DISASSEMBLY']","['29', '49']","[0.0, 62311.18359375]","[nan, 62311.18359375]","[0.0, 1.0]","[66626.0, 42538.0]"
c3107,3,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT']","['29', '49', '3']","[0.0, 62311.18359375, 73726.328125]","[nan, 62311.18359375, 11415.146484375]","[0.0, 1.0, 1.0]","[66626.0, 42538.0, 53953.0]"
c3107,4,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR']","['29', '49', '3', '11']","[0.0, 62311.18359375, 73726.328125, 86551.484375]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375]","[0.0, 1.0, 1.0, 1.0]","[66626.0, 42538.0, 53953.0, 66778.0]"
c3107,5,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL']","['29', '49', '3', '11', '33']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375]","[0.0, 1.0, 1.0, 1.0, 2.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0]"
c3107,6,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['29', '49', '3', '11', '33', '38']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0]"
c3107,7,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['29', '49', '3', '11', '33', '38', '49']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0]"
c3107,8,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['29', '49', '3', '11', '33', '38', '49', '2']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0]"
c3107,9,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['29', '49', '3', '11', '33', '38', '49', '2', '25']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0]"
c3107,10,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['29', '49', '3', '11', '33', '38', '49', '2', '25', '37']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875, 272414.15625]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875, 37390.71875]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0, 79841.0]"
c3107,11,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['29', '49', '3', '11', '33', '38', '49', '2', '25', '37', '32']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875, 272414.15625, 302433.46875]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875, 37390.71875, 30019.330078125]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0, 79841.0, 23460.0]"
c3107,12,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['29', '49', '3', '11', '33', '38', '49', '2', '25', '37', '32', '29']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875, 272414.15625, 302433.46875, 342464.65625]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875, 37390.71875, 30019.330078125, 40031.17578125]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0, 79841.0, 23460.0, 63491.0]"
c3107,13,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['29', '49', '3', '11', '33', '38', '49', '2', '25', '37', '32', '29', '6']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875, 272414.15625, 302433.46875, 342464.65625, 561421.0]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875, 37390.71875, 30019.330078125, 40031.17578125, 218956.328125]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 0.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0, 79841.0, 23460.0, 63491.0, 23247.0]"
c3107,14,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['29', '49', '3', '11', '33', '38', '49', '2', '25', '37', '32', '29', '6', '33']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875, 272414.15625, 302433.46875, 342464.65625, 561421.0, 614629.0]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875, 37390.71875, 30019.330078125, 40031.17578125, 218956.328125, 53207.9921875]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 0.0, 0.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0, 79841.0, 23460.0, 63491.0, 23247.0, 76455.0]"
c3107,15,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['29', '49', '3', '11', '33', '38', '49', '2', '25', '37', '32', '29', '6', '33', '32']","[0.0, 62311.18359375, 73726.328125, 86551.484375, 135877.734375, 168607.765625, 174995.578125, 233233.453125, 235023.421875, 272414.15625, 302433.46875, 342464.65625, 561421.0, 614629.0, 665930.1875]","[nan, 62311.18359375, 11415.146484375, 12825.1552734375, 49326.24609375, 32730.03125, 6387.82177734375, 58237.87109375, 1789.9735107421875, 37390.71875, 30019.330078125, 40031.17578125, 218956.328125, 53207.9921875, 51301.1875]","[0.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 0.0, 0.0, 1.0]","[66626.0, 42538.0, 53953.0, 66778.0, 29704.0, 62434.0, 68822.0, 40660.0, 42450.0, 79841.0, 23460.0, 63491.0, 23247.0, 76455.0, 41357.0]"
c3116,1,['RECEPTION'],['40'],[0.0],[nan],[1.0],[43007.0]
c3116,2,"['RECEPTION', 'DISASSEMBLY']","['40', '49']","[0.0, 17503.0234375]","[nan, 17503.0234375]","[1.0, 1.0]","[43007.0, 60510.0]"
c3116,3,"['RECEPTION', 'DISASSEMBLY', 'REPAIR']","['40', '49', '40']","[0.0, 17503.0234375, 26312.8828125]","[nan, 17503.0234375, 8809.859375]","[1.0, 1.0, 1.0]","[43007.0, 60510.0, 69320.0]"
c3116,4,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT']","['40', '49', '40', '13']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625]","[nan, 17503.0234375, 8809.859375, 43903.66015625]","[1.0, 1.0, 1.0, 2.0]","[43007.0, 60510.0, 69320.0, 26823.0]"
c3116,5,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL']","['40', '49', '40', '13', '28']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625]","[1.0, 1.0, 1.0, 2.0, 2.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0]"
c3116,6,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR']","['40', '49', '40', '13', '28', '0']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0]"
c3116,7,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['40', '49', '40', '13', '28', '0', '19']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0]"
c3116,8,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['40', '49', '40', '13', '28', '0', '19', '10']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0]"
c3116,9,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['40', '49', '40', '13', '28', '0', '19', '10', '46']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0]"
c3116,10,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['40', '49', '40', '13', '28', '0', '19', '10', '46', '40']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125, 200402.34375]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875, 29995.572265625]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0, 70609.0]"
c3116,11,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['40', '49', '40', '13', '28', '0', '19', '10', '46', '40', '21']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125, 200402.34375, 239640.25]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875, 29995.572265625, 39237.90234375]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0, 70609.0, 23447.0]"
c3116,12,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['40', '49', '40', '13', '28', '0', '19', '10', '46', '40', '21', '3']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125, 200402.34375, 239640.25, 269742.46875]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875, 29995.572265625, 39237.90234375, 30102.220703125]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0, 70609.0, 23447.0, 53549.0]"
c3116,13,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL']","['40', '49', '40', '13', '28', '0', '19', '10', '46', '40', '21', '3', '39']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125, 200402.34375, 239640.25, 269742.46875, 271586.0625]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875, 29995.572265625, 39237.90234375, 30102.220703125, 1843.600830078125]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0, 70609.0, 23447.0, 53549.0, 55393.0]"
c3116,14,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['40', '49', '40', '13', '28', '0', '19', '10', '46', '40', '21', '3', '39', '41']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125, 200402.34375, 239640.25, 269742.46875, 271586.0625, 277163.6875]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875, 29995.572265625, 39237.90234375, 30102.220703125, 1843.600830078125, 5577.61572265625]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0, 70609.0, 23447.0, 53549.0, 55393.0, 60970.0]"
c3116,15,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['40', '49', '40', '13', '28', '0', '19', '10', '46', '40', '21', '3', '39', '41', '13']","[0.0, 17503.0234375, 26312.8828125, 70216.5390625, 77098.703125, 109724.7890625, 154827.796875, 168548.53125, 170406.78125, 200402.34375, 239640.25, 269742.46875, 271586.0625, 277163.6875, 510110.125]","[nan, 17503.0234375, 8809.859375, 43903.66015625, 6882.1640625, 32626.08203125, 45103.015625, 13720.724609375, 1858.24951171875, 29995.572265625, 39237.90234375, 30102.220703125, 1843.600830078125, 5577.61572265625, 232946.4375]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[43007.0, 60510.0, 69320.0, 26823.0, 33705.0, 66332.0, 25035.0, 38755.0, 40614.0, 70609.0, 23447.0, 53549.0, 55393.0, 60970.0, 34717.0]"
c3115,1,['RECEPTION'],['4'],[0.0],[nan],[1.0],[49722.0]
c3115,2,"['RECEPTION', 'ACKNOWLEDGEMENT']","['4', '28']","[0.0, 10819.083984375]","[nan, 10819.083984375]","[1.0, 1.0]","[49722.0, 60541.0]"
c3115,3,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY']","['4', '28', '0']","[0.0, 10819.083984375, 23768.974609375]","[nan, 10819.083984375, 12949.890625]","[1.0, 1.0, 1.0]","[49722.0, 60541.0, 73491.0]"
c3115,4,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR']","['4', '28', '0', '7']","[0.0, 10819.083984375, 23768.974609375, 71541.6015625]","[nan, 10819.083984375, 12949.890625, 47772.62890625]","[1.0, 1.0, 1.0, 2.0]","[49722.0, 60541.0, 73491.0, 34863.0]"
c3115,5,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL']","['4', '28', '0', '7', '26']","[0.0, 10819.083984375, 23768.974609375, 71541.6015625, 79029.21875]","[nan, 10819.083984375, 12949.890625, 47772.62890625, 7487.61474609375]","[1.0, 1.0, 1.0, 2.0, 2.0]","[49722.0, 60541.0, 73491.0, 34863.0, 42351.0]"
c3115,6,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR']","['4', '28', '0', '7', '26', '20']","[0.0, 10819.083984375, 23768.974609375, 71541.6015625, 79029.21875, 106390.140625]","[nan, 10819.083984375, 12949.890625, 47772.62890625, 7487.61474609375, 27360.91796875]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0]","[49722.0, 60541.0, 73491.0, 34863.0, 42351.0, 69712.0]"
c3115,7,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'CREATE_INVOICE']","['4', '28', '0', '7', '26', '20', '25']","[0.0, 10819.083984375, 23768.974609375, 71541.6015625, 79029.21875, 106390.140625, 158181.125]","[nan, 10819.083984375, 12949.890625, 47772.62890625, 7487.61474609375, 27360.91796875, 51790.98046875]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0]","[49722.0, 60541.0, 73491.0, 34863.0, 42351.0, 69712.0, 35103.0]"
c3115,8,"['RECEPTION', 'ACKNOWLEDGEMENT', 'DISASSEMBLY', 'REPAIR', 'QUALITY_CONTROL', 'REPAIR', 'CREATE_INVOICE', 'SHIPPING']","['4', '28', '0', '7', '26', '20', '25', '14']","[0.0, 10819.083984375, 23768.974609375, 71541.6015625, 79029.21875, 106390.140625, 158181.125, 170009.484375]","[nan, 10819.083984375, 12949.890625, 47772.62890625, 7487.61474609375, 27360.91796875, 51790.98046875, 11828.359375]","[1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0]","[49722.0, 60541.0, 73491.0, 34863.0, 42351.0, 69712.0, 35103.0, 46931.0]"
c3117,1,['RECEPTION'],['2'],[0.0],[nan],[1.0],[60375.0]
c3117,2,"['RECEPTION', 'DISASSEMBLY']","['2', '12']","[0.0, 17661.03125]","[nan, 17661.03125]","[1.0, 1.0]","[60375.0, 78036.0]"
c3117,3,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT']","['2', '12', '34']","[0.0, 17661.03125, 25802.375]","[nan, 17661.03125, 8141.34375]","[1.0, 1.0, 1.0]","[60375.0, 78036.0, 86177.0]"
c3117,4,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR']","['2', '12', '34', '11']","[0.0, 17661.03125, 25802.375, 63656.46484375]","[nan, 17661.03125, 8141.34375, 37854.09375]","[1.0, 1.0, 1.0, 2.0]","[60375.0, 78036.0, 86177.0, 37631.0]"
c3117,5,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL']","['2', '12', '34', '11', '43']","[0.0, 17661.03125, 25802.375, 63656.46484375, 69780.9453125]","[nan, 17661.03125, 8141.34375, 37854.09375, 6124.47802734375]","[1.0, 1.0, 1.0, 2.0, 2.0]","[60375.0, 78036.0, 86177.0, 37631.0, 43756.0]"
c3117,6,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE']","['2', '12', '34', '11', '43', '29']","[0.0, 17661.03125, 25802.375, 63656.46484375, 69780.9453125, 162097.078125]","[nan, 17661.03125, 8141.34375, 37854.09375, 6124.47802734375, 92316.140625]","[1.0, 1.0, 1.0, 2.0, 2.0, 3.0]","[60375.0, 78036.0, 86177.0, 37631.0, 43756.0, 49672.0]"
c3117,7,"['RECEPTION', 'DISASSEMBLY', 'ACKNOWLEDGEMENT', 'REPAIR', 'QUALITY_CONTROL', 'CREATE_INVOICE', 'SHIPPING']","['2', '12', '34', '11', '43', '29', '25']","[0.0, 17661.03125, 25802.375, 63656.46484375, 69780.9453125, 162097.078125, 180414.625]","[nan, 17661.03125, 8141.34375, 37854.09375, 6124.47802734375, 92316.140625, 18317.537109375]","[1.0, 1.0, 1.0, 2.0, 2.0, 3.0, 3.0]","[60375.0, 78036.0, 86177.0, 37631.0, 43756.0, 49672.0, 67990.0]"
c3122,1,['RECEPTION'],['16'],[0.0],[nan],[2.0],[33062.0]
c3122,2,"['RECEPTION', 'DISASSEMBLY']","['16', '4']","[0.0, 22117.71875]","[nan, 22117.71875]","[2.0, 2.0]","[33062.0, 55180.0]"
c3122,3,"['RECEPTION', 'DISASSEMBLY', 'REPAIR']","['16', '4', '2']","[0.0, 22117.71875, 35014.328125]","[nan, 22117.71875, 12896.6083984375]","[2.0, 2.0, 2.0]","[33062.0, 55180.0, 68076.0]"
c3122,4,"['RECEPTION', 'DISASSEMBLY', 'REPAIR', 'ACKNOWLEDGEMENT']","['16', '4', '2', '31']","[0.0, 22117.71875, 35014.328125, 90081.1953125]","[nan, 22117.71875, 12896.6083984375, 55066.8671875]","[2.0, 2.0, 2.0, 3.0]","[33062.0, 55180.0, 68076.0, 36743.0]"
