CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,seriousness,product,responsible_section,service_level,service_type,support_section,workgroup
Case 2247,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[2.0],[39459.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2247,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 30.0]","[nan, 30.0]","[2.0, 2.0]","[39459.0, 39489.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2247,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 30.0, 8273.0]","[nan, 30.0, 8243.0]","[2.0, 2.0, 2.0]","[39459.0, 39489.0, 47732.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2248,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[58573.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2248,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[0.0, 492474.0]","[nan, 492474.0]","[2.0, 1.0]","[58573.0, 32647.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2248,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 13', 'Value 13']","[0.0, 492474.0, 580105.0]","[nan, 492474.0, 87631.0]","[2.0, 1.0, 2.0]","[58573.0, 32647.0, 33878.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2248,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 13', 'Value 13', 'Value 13']","[0.0, 492474.0, 580105.0, 580105.0]","[nan, 492474.0, 87631.0, 87631.0]","[2.0, 1.0, 2.0, 2.0]","[58573.0, 32647.0, 33878.0, 33878.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2249,1,['Insert ticket'],['Value 15'],[0.0],[nan],[3.0],[55572.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,2,"['Insert ticket', 'Assign seriousness']","['Value 15', 'Value 15']","[0.0, 65725.0]","[nan, 65725.0]","[3.0, 4.0]","[55572.0, 34897.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 16']","[0.0, 65725.0, 68574.0]","[nan, 65725.0, 2849.0]","[3.0, 4.0, 4.0]","[55572.0, 34897.0, 37746.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 15', 'Value 15', 'Value 16', 'Value 16']","[0.0, 65725.0, 68574.0, 72031.0]","[nan, 65725.0, 2849.0, 3457.0]","[3.0, 4.0, 4.0, 4.0]","[55572.0, 34897.0, 37746.0, 41203.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,5,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 16', 'Value 16', 'Value 16']","[0.0, 65725.0, 68574.0, 72031.0, 78153.0]","[nan, 65725.0, 2849.0, 3457.0, 6122.0]","[3.0, 4.0, 4.0, 4.0, 4.0]","[55572.0, 34897.0, 37746.0, 41203.0, 47325.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,6,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait']","['Value 15', 'Value 15', 'Value 16', 'Value 16', 'Value 16', 'Value 16']","[0.0, 65725.0, 68574.0, 72031.0, 78153.0, 91005.0]","[nan, 65725.0, 2849.0, 3457.0, 6122.0, 12852.0]","[3.0, 4.0, 4.0, 4.0, 4.0, 4.0]","[55572.0, 34897.0, 37746.0, 41203.0, 47325.0, 60177.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,7,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 15', 'Value 15', 'Value 16', 'Value 16', 'Value 16', 'Value 16', 'Value 16']","[0.0, 65725.0, 68574.0, 72031.0, 78153.0, 91005.0, 330419.0]","[nan, 65725.0, 2849.0, 3457.0, 6122.0, 12852.0, 239414.0]","[3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0]","[55572.0, 34897.0, 37746.0, 41203.0, 47325.0, 60177.0, 40391.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2249,8,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 15', 'Value 15', 'Value 16', 'Value 16', 'Value 16', 'Value 16', 'Value 16', 'Value 16']","[0.0, 65725.0, 68574.0, 72031.0, 78153.0, 91005.0, 330419.0, 330430.0]","[nan, 65725.0, 2849.0, 3457.0, 6122.0, 12852.0, 239414.0, 11.0]","[3.0, 4.0, 4.0, 4.0, 4.0, 4.0, 0.0, 0.0]","[55572.0, 34897.0, 37746.0, 41203.0, 47325.0, 60177.0, 40391.0, 40402.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 3
Case 2258,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[57693.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2258,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 13']","[0.0, 56969.0]","[nan, 56969.0]","[3.0, 4.0]","[57693.0, 28262.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2258,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 13', 'Value 13']","[0.0, 56969.0, 576228.0]","[nan, 56969.0, 519259.0]","[3.0, 4.0, 3.0]","[57693.0, 28262.0, 29121.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2259,1,['Insert ticket'],['Value 2'],[0.0],[nan],[2.0],[53240.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2259,2,"['Insert ticket', 'Assign seriousness']","['Value 2', 'Value 2']","[0.0, 27.0]","[nan, 27.0]","[2.0, 2.0]","[53240.0, 53267.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2259,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 27.0, 34.0]","[nan, 27.0, 7.0]","[2.0, 2.0, 2.0]","[53240.0, 53267.0, 53274.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2259,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 27.0, 34.0, 1665.0]","[nan, 27.0, 7.0, 1631.0]","[2.0, 2.0, 2.0, 2.0]","[53240.0, 53267.0, 53274.0, 54905.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2260,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[2.0],[36161.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2260,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 9471.0]","[nan, 9471.0]","[2.0, 2.0]","[36161.0, 45632.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2260,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1']","[0.0, 9471.0, 14835.0]","[nan, 9471.0, 5364.0]","[2.0, 2.0, 2.0]","[36161.0, 45632.0, 50996.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2261,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[55530.0],Value 1,Value 4,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2261,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 16.0]","[nan, 16.0]","[4.0, 4.0]","[55530.0, 55546.0]",Value 1,Value 4,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2261,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 1']","[0.0, 16.0, 603.0]","[nan, 16.0, 587.0]","[4.0, 4.0, 4.0]","[55530.0, 55546.0, 56133.0]",Value 1,Value 4,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2262,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[3.0],[40725.0],Value 1,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2262,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[0.0, 15.0]","[nan, 15.0]","[3.0, 3.0]","[40725.0, 40740.0]",Value 1,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2262,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 9', 'Value 9']","[0.0, 15.0, 685.0]","[nan, 15.0, 670.0]","[3.0, 3.0, 3.0]","[40725.0, 40740.0, 41410.0]",Value 1,Value 3,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2263,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[1.0],[39758.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2263,2,"['Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 8']","[0.0, 204.0]","[nan, 204.0]","[1.0, 1.0]","[39758.0, 39962.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2263,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 8']","[0.0, 204.0, 212.0]","[nan, 204.0, 8.0]","[1.0, 1.0, 1.0]","[39758.0, 39962.0, 39970.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2263,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 13']","[0.0, 204.0, 212.0, 20513.0]","[nan, 204.0, 8.0, 20301.0]","[1.0, 1.0, 1.0, 1.0]","[39758.0, 39962.0, 39970.0, 60271.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2264,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[33013.0],Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2264,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 9']","[0.0, 168440.0]","[nan, 168440.0]","[1.0, 3.0]","[33013.0, 28653.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2264,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 9', 'Value 9']","[0.0, 168440.0, 168548.0]","[nan, 168440.0, 108.0]","[1.0, 3.0, 3.0]","[33013.0, 28653.0, 28761.0]",Value 1,Value 2,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2265,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[2.0],[43782.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 2265,2,"['Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 8']","[0.0, 3892.0]","[nan, 3892.0]","[2.0, 2.0]","[43782.0, 47674.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 2265,3,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness']","['Value 8', 'Value 8', 'Value 8']","[0.0, 3892.0, 3893.0]","[nan, 3892.0, 1.0]","[2.0, 2.0, 2.0]","[43782.0, 47674.0, 47675.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 2265,4,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 6']","[0.0, 3892.0, 3893.0, 790131.0]","[nan, 3892.0, 1.0, 786238.0]","[2.0, 2.0, 2.0, 4.0]","[43782.0, 47674.0, 47675.0, 56313.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 2265,5,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 6', 'Value 17']","[0.0, 3892.0, 3893.0, 790131.0, 1637867.0]","[nan, 3892.0, 1.0, 786238.0, 847736.0]","[2.0, 2.0, 2.0, 4.0, 0.0]","[43782.0, 47674.0, 47675.0, 56313.0, 40049.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 4
Case 2267,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[0.0],[49115.0],Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2267,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 2']","[0.0, 790227.0]","[nan, 790227.0]","[0.0, 2.0]","[49115.0, 61742.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2267,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 4', 'Value 2', 'Value 2']","[0.0, 790227.0, 1372495.0]","[nan, 790227.0, 582268.0]","[0.0, 2.0, 2.0]","[49115.0, 61742.0, 39210.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2267,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 4', 'Value 2', 'Value 2', 'Value 2']","[0.0, 790227.0, 1372495.0, 2506659.0]","[nan, 790227.0, 582268.0, 1134164.0]","[0.0, 2.0, 2.0, 1.0]","[49115.0, 61742.0, 39210.0, 50174.0]",Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 227,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[1.0],[33274.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 227,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[0.0, 18.0]","[nan, 18.0]","[1.0, 1.0]","[33274.0, 33292.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 227,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8']","[0.0, 18.0, 271639.0]","[nan, 18.0, 271621.0]","[1.0, 1.0, 4.0]","[33274.0, 33292.0, 45713.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2271,1,['Assign seriousness'],['Value 19'],[0.0],[nan],[3.0],[27432.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2271,2,"['Assign seriousness', 'Take in charge ticket']","['Value 19', 'Value 19']","[0.0, 20148.0]","[nan, 20148.0]","[3.0, 3.0]","[27432.0, 47580.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2271,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 19', 'Value 19', 'Value 19']","[0.0, 20148.0, 21518.0]","[nan, 20148.0, 1370.0]","[3.0, 3.0, 3.0]","[27432.0, 47580.0, 48950.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2271,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 19', 'Value 19', 'Value 19', 'Value 19']","[0.0, 20148.0, 21518.0, 84208.0]","[nan, 20148.0, 1370.0, 62690.0]","[3.0, 3.0, 3.0, 4.0]","[27432.0, 47580.0, 48950.0, 25240.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2271,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 19', 'Value 19', 'Value 19', 'Value 19', 'Value 19']","[0.0, 20148.0, 21518.0, 84208.0, 84215.0]","[nan, 20148.0, 1370.0, 62690.0, 7.0]","[3.0, 3.0, 3.0, 4.0, 4.0]","[27432.0, 47580.0, 48950.0, 25240.0, 25247.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2272,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[4.0],[46585.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2272,2,"['Assign seriousness', 'Assign seriousness']","['Value 2', 'Value 2']","[0.0, 3925.0]","[nan, 3925.0]","[4.0, 4.0]","[46585.0, 50510.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2272,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 15']","[0.0, 3925.0, 246844.0]","[nan, 3925.0, 242919.0]","[4.0, 4.0, 0.0]","[46585.0, 50510.0, 34229.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2272,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 15', 'Value 15']","[0.0, 3925.0, 246844.0, 251825.0]","[nan, 3925.0, 242919.0, 4981.0]","[4.0, 4.0, 0.0, 0.0]","[46585.0, 50510.0, 34229.0, 39210.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2273,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[53917.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2273,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 4']","[0.0, 59420.0]","[nan, 59420.0]","[3.0, 4.0]","[53917.0, 26937.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2273,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 4', 'Value 4']","[0.0, 59420.0, 344220.0]","[nan, 59420.0, 284800.0]","[3.0, 4.0, 0.0]","[53917.0, 26937.0, 52537.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2274,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[4.0],[37793.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2274,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 12']","[0.0, 2939952.0]","[nan, 2939952.0]","[4.0, 3.0]","[37793.0, 40145.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2274,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 12', 'Value 12']","[0.0, 2939952.0, 2940258.0]","[nan, 2939952.0, 306.0]","[4.0, 3.0, 3.0]","[37793.0, 40145.0, 40451.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2277,1,['Assign seriousness'],['Value 9'],[0.0],[nan],[0.0],[35102.0],Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2277,2,"['Assign seriousness', 'Take in charge ticket']","['Value 9', 'Value 9']","[0.0, 31.0]","[nan, 31.0]","[0.0, 0.0]","[35102.0, 35133.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2277,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 9', 'Value 9', 'Value 9']","[0.0, 31.0, 2332.0]","[nan, 31.0, 2301.0]","[0.0, 0.0, 0.0]","[35102.0, 35133.0, 37434.0]",Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 2279,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[57470.0],Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 2279,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 65.0]","[nan, 65.0]","[1.0, 1.0]","[57470.0, 57535.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 2279,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 1', 'Value 1', 'Value 2']","[0.0, 65.0, 255730.0]","[nan, 65.0, 255665.0]","[1.0, 1.0, 4.0]","[57470.0, 57535.0, 54000.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 2279,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 2', 'Value 1']","[0.0, 65.0, 255730.0, 1367775.0]","[nan, 65.0, 255665.0, 1112045.0]","[1.0, 1.0, 4.0, 3.0]","[57470.0, 57535.0, 54000.0, 42845.0]",Value 1,Value 1,Value 1,Value 1,Value 1,Value 1,Value 1
Case 228,1,['Assign seriousness'],['Value 14'],[0.0],[nan],[2.0],[56356.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 228,2,"['Assign seriousness', 'Take in charge ticket']","['Value 14', 'Value 2']","[0.0, 61106.0]","[nan, 61106.0]","[2.0, 3.0]","[56356.0, 31062.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 228,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 14', 'Value 2', 'Value 2']","[0.0, 61106.0, 61138.0]","[nan, 61106.0, 32.0]","[2.0, 3.0, 3.0]","[56356.0, 31062.0, 31094.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2282,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[2.0],[30104.0],Value 1,Value 3,Value 3,Value 2,Value 1,Value 3,Value 1
Case 2282,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 9.0]","[nan, 9.0]","[2.0, 2.0]","[30104.0, 30113.0]",Value 1,Value 3,Value 3,Value 2,Value 1,Value 3,Value 1
Case 2282,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2']","[0.0, 9.0, 3194092.0]","[nan, 9.0, 3194083.0]","[2.0, 2.0, 4.0]","[30104.0, 30113.0, 27396.0]",Value 1,Value 3,Value 3,Value 2,Value 1,Value 3,Value 1
Case 2283,1,['Assign seriousness'],['Value 7'],[0.0],[nan],[1.0],[56887.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2283,2,"['Assign seriousness', 'Take in charge ticket']","['Value 7', 'Value 7']","[0.0, 65451.0]","[nan, 65451.0]","[1.0, 2.0]","[56887.0, 35938.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2283,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 7', 'Value 7', 'Value 7']","[0.0, 65451.0, 65641.0]","[nan, 65451.0, 190.0]","[1.0, 2.0, 2.0]","[56887.0, 35938.0, 36128.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2284,1,['Assign seriousness'],['Value 13'],[0.0],[nan],[3.0],[56225.0],Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2284,2,"['Assign seriousness', 'Assign seriousness']","['Value 13', 'Value 13']","[0.0, 20.0]","[nan, 20.0]","[3.0, 3.0]","[56225.0, 56245.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2284,3,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 13', 'Value 11']","[0.0, 20.0, 68789.0]","[nan, 20.0, 68769.0]","[3.0, 3.0, 4.0]","[56225.0, 56245.0, 38614.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2284,4,"['Assign seriousness', 'Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 13', 'Value 13', 'Value 11', 'Value 11']","[0.0, 20.0, 68789.0, 69065.0]","[nan, 20.0, 68769.0, 276.0]","[3.0, 3.0, 4.0, 4.0]","[56225.0, 56245.0, 38614.0, 38890.0]",Value 1,Value 3,Value 1,Value 2,Value 2,Value 1,Value 2
Case 2287,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[0.0],[46846.0],Value 1,Value 3,Value 1,Value 2,Value 3,Value 1,Value 2
Case 2287,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[0.0, 17.0]","[nan, 17.0]","[0.0, 0.0]","[46846.0, 46863.0]",Value 1,Value 3,Value 1,Value 2,Value 3,Value 1,Value 2
Case 2287,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 8']","[0.0, 17.0, 67479.0]","[nan, 17.0, 67462.0]","[0.0, 0.0, 1.0]","[46846.0, 46863.0, 27925.0]",Value 1,Value 3,Value 1,Value 2,Value 3,Value 1,Value 2
Case 2287,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 8']","[0.0, 17.0, 67479.0, 163460.0]","[nan, 17.0, 67462.0, 95981.0]","[0.0, 0.0, 1.0, 2.0]","[46846.0, 46863.0, 27925.0, 37506.0]",Value 1,Value 3,Value 1,Value 2,Value 3,Value 1,Value 2
Case 2287,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 8', 'Value 8', 'Value 12']","[0.0, 17.0, 67479.0, 163460.0, 257058.0]","[nan, 17.0, 67462.0, 95981.0, 93598.0]","[0.0, 0.0, 1.0, 2.0, 3.0]","[46846.0, 46863.0, 27925.0, 37506.0, 44704.0]",Value 1,Value 3,Value 1,Value 2,Value 3,Value 1,Value 2
Case 2287,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 8', 'Value 12', 'Value 12']","[0.0, 17.0, 67479.0, 163460.0, 257058.0, 588223.0]","[nan, 17.0, 67462.0, 95981.0, 93598.0, 331165.0]","[0.0, 0.0, 1.0, 2.0, 3.0, 0.0]","[46846.0, 46863.0, 27925.0, 37506.0, 44704.0, 30269.0]",Value 1,Value 3,Value 1,Value 2,Value 3,Value 1,Value 2
Case 2288,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[0.0],[29872.0],Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2288,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 1210343.0]","[nan, 1210343.0]","[0.0, 0.0]","[29872.0, 30615.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2288,3,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 15']","[0.0, 1210343.0, 1492557.0]","[nan, 1210343.0, 282214.0]","[0.0, 0.0, 3.0]","[29872.0, 30615.0, 53629.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
Case 2288,4,"['Assign seriousness', 'Take in charge ticket', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 15', 'Value 15']","[0.0, 1210343.0, 1492557.0, 1492563.0]","[nan, 1210343.0, 282214.0, 6.0]","[0.0, 0.0, 3.0, 3.0]","[29872.0, 30615.0, 53629.0, 53635.0]",Value 1,Value 3,Value 1,Value 2,Value 1,Value 1,Value 1
