case:concept:name,prefix_length,concept:name,org:resource,org:role,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,case:BudgetNumber,case:DeclarationNumber,case:Amount
declaration 100569,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[31736.0],budget 86566,declaration number 100570,15.63668835255958
declaration 100569,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 314.0]","[nan, 314.0]","[0.0, 0.0]","[31736.0, 32050.0]",budget 86566,declaration number 100570,15.63668835255958
declaration 100569,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 314.0, 6060.0]","[nan, 314.0, 5746.0]","[0.0, 0.0, 0.0]","[31736.0, 32050.0, 37796.0]",budget 86566,declaration number 100570,15.63668835255958
declaration 100569,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 314.0, 6060.0, 91020.0]","[nan, 314.0, 5746.0, 84960.0]","[0.0, 0.0, 0.0, 1.0]","[31736.0, 32050.0, 37796.0, 36356.0]",budget 86566,declaration number 100570,15.63668835255958
declaration 100569,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 314.0, 6060.0, 91020.0, 290503.0]","[nan, 314.0, 5746.0, 84960.0, 199483.0]","[0.0, 0.0, 0.0, 1.0, 3.0]","[31736.0, 32050.0, 37796.0, 36356.0, 63039.0]",budget 86566,declaration number 100570,15.63668835255958
declaration 100574,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[33211.0],budget 86566,declaration number 100575,55.47476784800144
declaration 100574,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 66.0]","[nan, 66.0]","[0.0, 0.0]","[33211.0, 33277.0]",budget 86566,declaration number 100575,55.47476784800144
declaration 100574,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 66.0, 7051.0]","[nan, 66.0, 6985.0]","[0.0, 0.0, 0.0]","[33211.0, 33277.0, 40262.0]",budget 86566,declaration number 100575,55.47476784800144
declaration 100574,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 66.0, 7051.0, 202193.0]","[nan, 66.0, 6985.0, 195142.0]","[0.0, 0.0, 0.0, 2.0]","[33211.0, 33277.0, 40262.0, 62604.0]",budget 86566,declaration number 100575,55.47476784800144
declaration 100574,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 66.0, 7051.0, 202193.0, 634676.0]","[nan, 66.0, 6985.0, 195142.0, 432483.0]","[0.0, 0.0, 0.0, 2.0, 0.0]","[33211.0, 33277.0, 40262.0, 62604.0, 63087.0]",budget 86566,declaration number 100575,55.47476784800144
declaration 107726,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[35587.0],budget 86566,declaration number 107727,80.95214855454903
declaration 107726,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 290.0]","[nan, 290.0]","[0.0, 0.0]","[35587.0, 35877.0]",budget 86566,declaration number 107727,80.95214855454903
declaration 107726,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 290.0, 258044.0]","[nan, 290.0, 257754.0]","[0.0, 0.0, 3.0]","[35587.0, 35877.0, 34431.0]",budget 86566,declaration number 107727,80.95214855454903
declaration 107726,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 290.0, 258044.0, 847333.0]","[nan, 290.0, 257754.0, 589289.0]","[0.0, 0.0, 3.0, 3.0]","[35587.0, 35877.0, 34431.0, 18920.0]",budget 86566,declaration number 107727,80.95214855454903
declaration 107726,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 290.0, 258044.0, 847333.0, 879455.0]","[nan, 290.0, 257754.0, 589289.0, 32122.0]","[0.0, 0.0, 3.0, 3.0, 3.0]","[35587.0, 35877.0, 34431.0, 18920.0, 51042.0]",budget 86566,declaration number 107727,80.95214855454903
declaration 107726,6,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 290.0, 258044.0, 847333.0, 879455.0, 1237070.0]","[nan, 290.0, 257754.0, 589289.0, 32122.0, 357615.0]","[0.0, 0.0, 3.0, 3.0, 3.0, 0.0]","[35587.0, 35877.0, 34431.0, 18920.0, 51042.0, 63057.0]",budget 86566,declaration number 107727,80.95214855454903
declaration 107742,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[36426.0],budget 86566,declaration number 107743,37.93959851791602
declaration 107742,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 5.0]","[nan, 5.0]","[0.0, 0.0]","[36426.0, 36431.0]",budget 86566,declaration number 107743,37.93959851791602
declaration 107742,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 5.0, 792106.0]","[nan, 5.0, 792101.0]","[0.0, 0.0, 2.0]","[36426.0, 36431.0, 50932.0]",budget 86566,declaration number 107743,37.93959851791602
declaration 107742,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 5.0, 792106.0, 858022.0]","[nan, 5.0, 792101.0, 65916.0]","[0.0, 0.0, 2.0, 3.0]","[36426.0, 36431.0, 50932.0, 30448.0]",budget 86566,declaration number 107743,37.93959851791602
declaration 107742,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 5.0, 792106.0, 858022.0, 957995.0]","[nan, 5.0, 792101.0, 65916.0, 99973.0]","[0.0, 0.0, 2.0, 3.0, 4.0]","[36426.0, 36431.0, 50932.0, 30448.0, 44021.0]",budget 86566,declaration number 107743,37.93959851791602
declaration 107742,6,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 5.0, 792106.0, 858022.0, 957995.0, 1236231.0]","[nan, 5.0, 792101.0, 65916.0, 99973.0, 278236.0]","[0.0, 0.0, 2.0, 3.0, 4.0, 0.0]","[36426.0, 36431.0, 50932.0, 30448.0, 44021.0, 63057.0]",budget 86566,declaration number 107743,37.93959851791602
declaration 100579,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[42031.0],budget 86566,declaration number 100580,27.95561293814356
declaration 100579,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 9.0]","[nan, 9.0]","[0.0, 0.0]","[42031.0, 42040.0]",budget 86566,declaration number 100580,27.95561293814356
declaration 100579,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 9.0, 251576.0]","[nan, 9.0, 251567.0]","[0.0, 0.0, 3.0]","[42031.0, 42040.0, 34407.0]",budget 86566,declaration number 100580,27.95561293814356
declaration 100579,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 9.0, 251576.0, 268568.0]","[nan, 9.0, 251567.0, 16992.0]","[0.0, 0.0, 3.0, 3.0]","[42031.0, 42040.0, 34407.0, 51399.0]",budget 86566,declaration number 100580,27.95561293814356
declaration 100579,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 9.0, 251576.0, 268568.0, 625856.0]","[nan, 9.0, 251567.0, 16992.0, 357288.0]","[0.0, 0.0, 3.0, 3.0, 0.0]","[42031.0, 42040.0, 34407.0, 51399.0, 63087.0]",budget 86566,declaration number 100580,27.95561293814356
declaration 106101,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[46168.0],budget 86566,declaration number 106102,40.59515748273748
declaration 106101,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 2.0]","[nan, 2.0]","[0.0, 0.0]","[46168.0, 46170.0]",budget 86566,declaration number 106102,40.59515748273748
declaration 106101,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 2.0, 1610.0]","[nan, 2.0, 1608.0]","[0.0, 0.0, 0.0]","[46168.0, 46170.0, 47778.0]",budget 86566,declaration number 106102,40.59515748273748
declaration 106101,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 2.0, 1610.0, 93535.0]","[nan, 2.0, 1608.0, 91925.0]","[0.0, 0.0, 0.0, 1.0]","[46168.0, 46170.0, 47778.0, 53303.0]",budget 86566,declaration number 106102,40.59515748273748
declaration 106101,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 2.0, 1610.0, 93535.0, 94430.0]","[nan, 2.0, 1608.0, 91925.0, 895.0]","[0.0, 0.0, 0.0, 1.0, 1.0]","[46168.0, 46170.0, 47778.0, 53303.0, 54198.0]",budget 86566,declaration number 106102,40.59515748273748
declaration 106101,6,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 2.0, 1610.0, 93535.0, 94430.0, 276071.0]","[nan, 2.0, 1608.0, 91925.0, 895.0, 181641.0]","[0.0, 0.0, 0.0, 1.0, 1.0, 3.0]","[46168.0, 46170.0, 47778.0, 53303.0, 54198.0, 63039.0]",budget 86566,declaration number 106102,40.59515748273748
declaration 97500,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[46521.0],budget 86566,declaration number 97501,30.015437829421447
declaration 97500,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 195062.0]","[nan, 195062.0]","[0.0, 2.0]","[46521.0, 68783.0]",budget 86566,declaration number 97501,30.015437829421447
declaration 97500,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 195062.0, 256459.0]","[nan, 195062.0, 61397.0]","[0.0, 2.0, 3.0]","[46521.0, 68783.0, 43780.0]",budget 86566,declaration number 97501,30.015437829421447
declaration 97500,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 195062.0, 256459.0, 673093.0]","[nan, 195062.0, 61397.0, 416634.0]","[0.0, 2.0, 3.0, 1.0]","[46521.0, 68783.0, 43780.0, 28414.0]",budget 86566,declaration number 97501,30.015437829421447
declaration 97500,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 195062.0, 256459.0, 673093.0, 880564.0]","[nan, 195062.0, 61397.0, 416634.0, 207471.0]","[0.0, 2.0, 3.0, 1.0, 3.0]","[46521.0, 68783.0, 43780.0, 28414.0, 63085.0]",budget 86566,declaration number 97501,30.015437829421447
declaration 96993,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[46759.0],budget 86566,declaration number 96994,28.262370321795068
declaration 96993,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 24.0]","[nan, 24.0]","[0.0, 0.0]","[46759.0, 46783.0]",budget 86566,declaration number 96994,28.262370321795068
declaration 96993,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 24.0, 246972.0]","[nan, 24.0, 246948.0]","[0.0, 0.0, 3.0]","[46759.0, 46783.0, 34531.0]",budget 86566,declaration number 96994,28.262370321795068
declaration 96993,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 24.0, 246972.0, 251163.0]","[nan, 24.0, 246948.0, 4191.0]","[0.0, 0.0, 3.0, 3.0]","[46759.0, 46783.0, 34531.0, 38722.0]",budget 86566,declaration number 96994,28.262370321795068
declaration 96993,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 24.0, 246972.0, 251163.0, 621128.0]","[nan, 24.0, 246948.0, 4191.0, 369965.0]","[0.0, 0.0, 3.0, 3.0, 0.0]","[46759.0, 46783.0, 34531.0, 38722.0, 63087.0]",budget 86566,declaration number 96994,28.262370321795068
declaration 100599,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[49263.0],budget 86566,declaration number 100600,154.98865480254588
declaration 100599,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 75.0]","[nan, 75.0]","[0.0, 0.0]","[49263.0, 49338.0]",budget 86566,declaration number 100600,154.98865480254588
declaration 100599,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 75.0, 244511.0]","[nan, 75.0, 244436.0]","[0.0, 0.0, 3.0]","[49263.0, 49338.0, 34574.0]",budget 86566,declaration number 100600,154.98865480254588
declaration 100599,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 75.0, 244511.0, 341919.0]","[nan, 75.0, 244436.0, 97408.0]","[0.0, 0.0, 3.0, 4.0]","[49263.0, 49338.0, 34574.0, 45582.0]",budget 86566,declaration number 100600,154.98865480254588
declaration 100599,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 75.0, 244511.0, 341919.0, 618624.0]","[nan, 75.0, 244436.0, 97408.0, 276705.0]","[0.0, 0.0, 3.0, 4.0, 0.0]","[49263.0, 49338.0, 34574.0, 45582.0, 63087.0]",budget 86566,declaration number 100600,154.98865480254588
declaration 100604,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[52488.0],budget 86566,declaration number 100605,577.6364124073675
declaration 100604,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 149.0]","[nan, 149.0]","[0.0, 0.0]","[52488.0, 52637.0]",budget 86566,declaration number 100605,577.6364124073675
declaration 100604,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 149.0, 62653.0]","[nan, 149.0, 62504.0]","[0.0, 0.0, 1.0]","[52488.0, 52637.0, 28741.0]",budget 86566,declaration number 100605,577.6364124073675
declaration 100604,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 149.0, 62653.0, 66960.0]","[nan, 149.0, 62504.0, 4307.0]","[0.0, 0.0, 1.0, 1.0]","[52488.0, 52637.0, 28741.0, 33048.0]",budget 86566,declaration number 100605,577.6364124073675
declaration 100604,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 149.0, 62653.0, 66960.0, 76988.0]","[nan, 149.0, 62504.0, 4307.0, 10028.0]","[0.0, 0.0, 1.0, 1.0, 1.0]","[52488.0, 52637.0, 28741.0, 33048.0, 43076.0]",budget 86566,declaration number 100605,577.6364124073675
declaration 100604,6,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 149.0, 62653.0, 66960.0, 76988.0, 269751.0]","[nan, 149.0, 62504.0, 4307.0, 10028.0, 192763.0]","[0.0, 0.0, 1.0, 1.0, 1.0, 3.0]","[52488.0, 52637.0, 28741.0, 33048.0, 43076.0, 63039.0]",budget 86566,declaration number 100605,577.6364124073675
declaration 107773,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[52599.0],budget 86566,declaration number 107774,16.919765894737285
declaration 107773,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 122.0]","[nan, 122.0]","[0.0, 0.0]","[52599.0, 52721.0]",budget 86566,declaration number 107774,16.919765894737285
declaration 107773,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR']","[0.0, 122.0, 260.0]","[nan, 122.0, 138.0]","[0.0, 0.0, 0.0]","[52599.0, 52721.0, 52859.0]",budget 86566,declaration number 107774,16.919765894737285
declaration 107773,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED']","[0.0, 122.0, 260.0, 64319.0]","[nan, 122.0, 138.0, 64059.0]","[0.0, 0.0, 0.0, 1.0]","[52599.0, 52721.0, 52859.0, 30518.0]",budget 86566,declaration number 107774,16.919765894737285
declaration 107773,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment', 'Payment Handled']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'SUPERVISOR', 'UNDEFINED', 'UNDEFINED']","[0.0, 122.0, 260.0, 64319.0, 269640.0]","[nan, 122.0, 138.0, 64059.0, 205321.0]","[0.0, 0.0, 0.0, 1.0, 3.0]","[52599.0, 52721.0, 52859.0, 30518.0, 63039.0]",budget 86566,declaration number 107774,16.919765894737285
declaration 100610,1,['Declaration SUBMITTED'],['STAFF MEMBER'],['EMPLOYEE'],[0.0],[nan],[0.0],[57949.0],budget 86566,declaration number 100611,22.300236571642674
declaration 100610,2,"['Declaration SUBMITTED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION']","[0.0, 9.0]","[nan, 9.0]","[0.0, 0.0]","[57949.0, 57958.0]",budget 86566,declaration number 100611,22.300236571642674
declaration 100610,3,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER']","[0.0, 9.0, 61868.0]","[nan, 9.0, 61859.0]","[0.0, 0.0, 1.0]","[57949.0, 57958.0, 33417.0]",budget 86566,declaration number 100611,22.300236571642674
declaration 100610,4,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR']","[0.0, 9.0, 61868.0, 169949.0]","[nan, 9.0, 61859.0, 108081.0]","[0.0, 0.0, 1.0, 2.0]","[57949.0, 57958.0, 33417.0, 55098.0]",budget 86566,declaration number 100611,22.300236571642674
declaration 100610,5,"['Declaration SUBMITTED', 'Declaration APPROVED', 'Declaration APPROVED', 'Declaration FINAL_APPROVED', 'Request Payment']","['STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'STAFF MEMBER', 'SYSTEM']","['EMPLOYEE', 'ADMINISTRATION', 'BUDGET OWNER', 'SUPERVISOR', 'UNDEFINED']","[0.0, 9.0, 61868.0, 169949.0, 169952.0]","[nan, 9.0, 61859.0, 108081.0, 3.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[57949.0, 57958.0, 33417.0, 55098.0, 55101.0]",budget 86566,declaration number 100611,22.300236571642674
