CaseID,prefix_length,Activity,Resource,case_elapsed_time,event_elapsed_time,day_in_week,seconds_in_day,VariantIndex,seriousness,customer,product,responsible_section,seriousness_2,service_level,service_type,support_section,workgroup
Case 1078,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[0.0, 149.0]","[nan, 149.0]","[2.0, 2.0]","[39962.0, 40111.0]",6,Value 1,Value 27,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1078,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8']","[0.0, 149.0, 11159.0]","[nan, 149.0, 11010.0]","[2.0, 2.0, 2.0]","[39962.0, 40111.0, 51121.0]",6,Value 1,Value 27,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1078,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 8', 'Value 8']","[0.0, 149.0, 11159.0, 11160.0]","[nan, 149.0, 11010.0, 1.0]","[2.0, 2.0, 2.0, 2.0]","[39962.0, 40111.0, 51121.0, 51122.0]",6,Value 1,Value 27,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1078,5,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed']","['Value 8', 'Value 8', 'Value 8', 'Value 8', 'Value 5']","[0.0, 149.0, 11159.0, 11160.0, 3024295.0]","[nan, 149.0, 11010.0, 1.0, 3013135.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[39962.0, 40111.0, 51121.0, 51122.0, 40257.0]",6,Value 1,Value 27,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1079,1,['Assign seriousness'],['Value 18'],[0.0],[nan],[2.0],[25674.0],14,Value 1,Value 131,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1079,2,"['Assign seriousness', 'Take in charge ticket']","['Value 18', 'Value 2']","[0.0, 2100.0]","[nan, 2100.0]","[2.0, 2.0]","[25674.0, 27774.0]",14,Value 1,Value 131,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1079,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 18', 'Value 2', 'Value 2']","[0.0, 2100.0, 4437.0]","[nan, 2100.0, 2337.0]","[2.0, 2.0, 2.0]","[25674.0, 27774.0, 30111.0]",14,Value 1,Value 131,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1079,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait']","['Value 18', 'Value 2', 'Value 2', 'Value 2']","[0.0, 2100.0, 4437.0, 4437.0]","[nan, 2100.0, 2337.0, 2337.0]","[2.0, 2.0, 2.0, 2.0]","[25674.0, 27774.0, 30111.0, 30111.0]",14,Value 1,Value 131,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1079,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Resolve ticket']","['Value 18', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 2100.0, 4437.0, 4437.0, 2277910.0]","[nan, 2100.0, 2337.0, 2337.0, 2273473.0]","[2.0, 2.0, 2.0, 2.0, 0.0]","[25674.0, 27774.0, 30111.0, 30111.0, 57184.0]",14,Value 1,Value 131,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1079,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Wait', 'Resolve ticket', 'Closed']","['Value 18', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 3']","[0.0, 2100.0, 4437.0, 4437.0, 2277910.0, 3573922.0]","[nan, 2100.0, 2337.0, 2337.0, 2273473.0, 1296012.0]","[2.0, 2.0, 2.0, 2.0, 0.0, 1.0]","[25674.0, 27774.0, 30111.0, 30111.0, 57184.0, 57196.0]",14,Value 1,Value 131,Value 1,Value 1,Value 4,Value 2,Value 1,Value 1,Value 1
Case 1080,1,['Insert ticket'],['Value 11'],[0.0],[nan],[2.0],[38010.0],37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,2,"['Insert ticket', 'Assign seriousness']","['Value 11', 'Value 11']","[0.0, 9.0]","[nan, 9.0]","[2.0, 2.0]","[38010.0, 38019.0]",37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,3,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket']","['Value 11', 'Value 11', 'Value 11']","[0.0, 9.0, 44.0]","[nan, 9.0, 35.0]","[2.0, 2.0, 2.0]","[38010.0, 38019.0, 38054.0]",37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,4,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 11', 'Value 11', 'Value 11', 'Value 11']","[0.0, 9.0, 44.0, 1020.0]","[nan, 9.0, 35.0, 976.0]","[2.0, 2.0, 2.0, 2.0]","[38010.0, 38019.0, 38054.0, 39030.0]",37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,5,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 11', 'Value 11', 'Value 11', 'Value 11', 'Value 11']","[0.0, 9.0, 44.0, 1020.0, 1833554.0]","[nan, 9.0, 35.0, 976.0, 1832534.0]","[2.0, 2.0, 2.0, 2.0, 2.0]","[38010.0, 38019.0, 38054.0, 39030.0, 57164.0]",37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,6,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 11', 'Value 11', 'Value 11', 'Value 11', 'Value 11', 'Value 11']","[0.0, 9.0, 44.0, 1020.0, 1833554.0, 1833643.0]","[nan, 9.0, 35.0, 976.0, 1832534.0, 89.0]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","[38010.0, 38019.0, 38054.0, 39030.0, 57164.0, 57253.0]",37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1080,7,"['Insert ticket', 'Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 11', 'Value 11', 'Value 11', 'Value 11', 'Value 11', 'Value 11', 'Value 5']","[0.0, 9.0, 44.0, 1020.0, 1833554.0, 1833643.0, 3129659.0]","[nan, 9.0, 35.0, 976.0, 1832534.0, 89.0, 1296016.0]","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]","[38010.0, 38019.0, 38054.0, 39030.0, 57164.0, 57253.0, 57269.0]",37,Value 1,Value 243,Value 3,Value 1,Value 4,Value 2,Value 2,Value 1,Value 1
Case 1087,1,['Assign seriousness'],['Value 13'],[0.0],[nan],[0.0],[40875.0],72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1087,2,"['Assign seriousness', 'Take in charge ticket']","['Value 13', 'Value 2']","[0.0, 15789.0]","[nan, 15789.0]","[0.0, 0.0]","[40875.0, 56664.0]",72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1087,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 13', 'Value 2', 'Value 1']","[0.0, 15789.0, 101411.0]","[nan, 15789.0, 85622.0]","[0.0, 0.0, 1.0]","[40875.0, 56664.0, 55886.0]",72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1087,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 13', 'Value 2', 'Value 1', 'Value 1']","[0.0, 15789.0, 101411.0, 182446.0]","[nan, 15789.0, 85622.0, 81035.0]","[0.0, 0.0, 1.0, 2.0]","[40875.0, 56664.0, 55886.0, 50521.0]",72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1087,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket']","['Value 13', 'Value 2', 'Value 1', 'Value 1', 'Value 4']","[0.0, 15789.0, 101411.0, 182446.0, 1380351.0]","[nan, 15789.0, 85622.0, 81035.0, 1197905.0]","[0.0, 0.0, 1.0, 2.0, 2.0]","[40875.0, 56664.0, 55886.0, 50521.0, 38826.0]",72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1087,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket']","['Value 13', 'Value 2', 'Value 1', 'Value 1', 'Value 4', 'Value 4']","[0.0, 15789.0, 101411.0, 182446.0, 1380351.0, 1382549.0]","[nan, 15789.0, 85622.0, 81035.0, 1197905.0, 2198.0]","[0.0, 0.0, 1.0, 2.0, 2.0, 2.0]","[40875.0, 56664.0, 55886.0, 50521.0, 38826.0, 41024.0]",72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1087,7,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Resolve ticket', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 13', 'Value 2', 'Value 1', 'Value 1', 'Value 4', 'Value 4', 'Value 3']","[0.0, 15789.0, 101411.0, 182446.0, 1380351.0, 1382549.0, 2678565.0]","[nan, 15789.0, 85622.0, 81035.0, 1197905.0, 2198.0, 1296016.0]","[0.0, 0.0, 1.0, 2.0, 2.0, 2.0, 3.0]","[40875.0, 56664.0, 55886.0, 50521.0, 38826.0, 41024.0, 41040.0]",72,Value 1,Value 192,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1088,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[1.0],[44680.0],8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1088,2,"['Assign seriousness', 'Resolve ticket']","['Value 2', 'Value 1']","[0.0, 1371574.0]","[nan, 1371574.0]","[1.0, 3.0]","[44680.0, 33854.0]",8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1088,3,"['Assign seriousness', 'Resolve ticket', 'Resolve ticket']","['Value 2', 'Value 1', 'Value 1']","[0.0, 1371574.0, 1371574.0]","[nan, 1371574.0, 1371574.0]","[1.0, 3.0, 3.0]","[44680.0, 33854.0, 33854.0]",8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1088,4,"['Assign seriousness', 'Resolve ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 1', 'Value 1', 'Value 3']","[0.0, 1371574.0, 1371574.0, 2667589.0]","[nan, 1371574.0, 1371574.0, 1296015.0]","[1.0, 3.0, 3.0, 4.0]","[44680.0, 33854.0, 33854.0, 33869.0]",8,Value 1,Value 22,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1089,1,['Assign seriousness'],['Value 8'],[0.0],[nan],[3.0],[52672.0],3,Value 1,Value 33,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1089,2,"['Assign seriousness', 'Take in charge ticket']","['Value 8', 'Value 8']","[0.0, 39.0]","[nan, 39.0]","[3.0, 3.0]","[52672.0, 52711.0]",3,Value 1,Value 33,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1089,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 8', 'Value 8', 'Value 2']","[0.0, 39.0, 396.0]","[nan, 39.0, 357.0]","[3.0, 3.0, 3.0]","[52672.0, 52711.0, 53068.0]",3,Value 1,Value 33,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1089,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 8', 'Value 8', 'Value 2', 'Value 2']","[0.0, 39.0, 396.0, 1712932.0]","[nan, 39.0, 357.0, 1712536.0]","[3.0, 3.0, 3.0, 2.0]","[52672.0, 52711.0, 53068.0, 37604.0]",3,Value 1,Value 33,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1089,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 8', 'Value 8', 'Value 2', 'Value 2', 'Value 2']","[0.0, 39.0, 396.0, 1712932.0, 1712943.0]","[nan, 39.0, 357.0, 1712536.0, 11.0]","[3.0, 3.0, 3.0, 2.0, 2.0]","[52672.0, 52711.0, 53068.0, 37604.0, 37615.0]",3,Value 1,Value 33,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1089,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 8', 'Value 8', 'Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 39.0, 396.0, 1712932.0, 1712943.0, 4304958.0]","[nan, 39.0, 357.0, 1712536.0, 11.0, 2592015.0]","[3.0, 3.0, 3.0, 2.0, 2.0, 4.0]","[52672.0, 52711.0, 53068.0, 37604.0, 37615.0, 37630.0]",3,Value 1,Value 33,Value 2,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1090,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[0.0],[52801.0],6,Value 1,Value 120,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1090,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 1']","[0.0, 158869.0]","[nan, 158869.0]","[0.0, 2.0]","[52801.0, 38870.0]",6,Value 1,Value 120,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1090,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 1', 'Value 1']","[0.0, 158869.0, 170564.0]","[nan, 158869.0, 11695.0]","[0.0, 2.0, 2.0]","[52801.0, 38870.0, 50565.0]",6,Value 1,Value 120,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1090,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket']","['Value 4', 'Value 1', 'Value 1', 'Value 1']","[0.0, 158869.0, 170564.0, 170564.0]","[nan, 158869.0, 11695.0, 11695.0]","[0.0, 2.0, 2.0, 2.0]","[52801.0, 38870.0, 50565.0, 50565.0]",6,Value 1,Value 120,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1090,5,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 1', 'Value 1', 'Value 1', 'Value 5']","[0.0, 158869.0, 170564.0, 170564.0, 2679041.0]","[nan, 158869.0, 11695.0, 11695.0, 2508477.0]","[0.0, 2.0, 2.0, 2.0, 3.0]","[52801.0, 38870.0, 50565.0, 50565.0, 53442.0]",6,Value 1,Value 120,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1091,1,['Take in charge ticket'],['Value 1'],[0.0],[nan],[1.0],[39831.0],18,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1091,2,"['Take in charge ticket', 'Wait']","['Value 1', 'Value 13']","[0.0, 85161.0]","[nan, 85161.0]","[1.0, 2.0]","[39831.0, 38592.0]",18,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1091,3,"['Take in charge ticket', 'Wait', 'Resolve ticket']","['Value 1', 'Value 13', 'Value 13']","[0.0, 85161.0, 872823.0]","[nan, 85161.0, 787662.0]","[1.0, 2.0, 4.0]","[39831.0, 38592.0, 48654.0]",18,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1091,4,"['Take in charge ticket', 'Wait', 'Resolve ticket', 'Closed']","['Value 1', 'Value 13', 'Value 13', 'Value 5']","[0.0, 85161.0, 872823.0, 2775396.0]","[nan, 85161.0, 787662.0, 1902573.0]","[1.0, 2.0, 4.0, 5.0]","[39831.0, 38592.0, 48654.0, 50427.0]",18,Value 1,Value 13,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1092,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[48159.0],5,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1092,2,"['Assign seriousness', 'Resolve ticket']","['Value 1', 'Value 1']","[0.0, 2138.0]","[nan, 2138.0]","[3.0, 3.0]","[48159.0, 50297.0]",5,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1092,3,"['Assign seriousness', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 5']","[0.0, 2138.0, 4579680.0]","[nan, 2138.0, 4577542.0]","[3.0, 3.0, 0.0]","[48159.0, 50297.0, 48639.0]",5,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1094,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[2.0],[27934.0],1,Value 1,Value 105,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1094,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 13']","[0.0, 9716.0]","[nan, 9716.0]","[2.0, 2.0]","[27934.0, 37650.0]",1,Value 1,Value 105,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1094,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 13', 'Value 13']","[0.0, 9716.0, 457518.0]","[nan, 9716.0, 447802.0]","[2.0, 2.0, 0.0]","[27934.0, 37650.0, 53452.0]",1,Value 1,Value 105,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1094,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 13', 'Value 13', 'Value 5']","[0.0, 9716.0, 457518.0, 3801898.0]","[nan, 9716.0, 447802.0, 3344380.0]","[2.0, 2.0, 0.0, 4.0]","[27934.0, 37650.0, 53452.0, 28232.0]",1,Value 1,Value 105,Value 1,Value 1,Value 2,Value 2,Value 1,Value 1,Value 1
Case 1100,1,['Assign seriousness'],['Value 2'],[0.0],[nan],[4.0],[45314.0],3,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1100,2,"['Assign seriousness', 'Take in charge ticket']","['Value 2', 'Value 2']","[0.0, 322.0]","[nan, 322.0]","[4.0, 4.0]","[45314.0, 45636.0]",3,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1100,3,"['Assign seriousness', 'Take in charge ticket', 'Wait']","['Value 2', 'Value 2', 'Value 2']","[0.0, 322.0, 337264.0]","[nan, 322.0, 336942.0]","[4.0, 4.0, 1.0]","[45314.0, 45636.0, 36978.0]",3,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1100,4,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 322.0, 337264.0, 1215344.0]","[nan, 322.0, 336942.0, 878080.0]","[4.0, 4.0, 1.0, 4.0]","[45314.0, 45636.0, 36978.0, 51058.0]",3,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1100,5,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2']","[0.0, 322.0, 337264.0, 1215344.0, 1215367.0]","[nan, 322.0, 336942.0, 878080.0, 23.0]","[4.0, 4.0, 1.0, 4.0, 4.0]","[45314.0, 45636.0, 36978.0, 51058.0, 51081.0]",3,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1100,6,"['Assign seriousness', 'Take in charge ticket', 'Wait', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 2', 'Value 5']","[0.0, 322.0, 337264.0, 1215344.0, 1215367.0, 3726394.0]","[nan, 322.0, 336942.0, 878080.0, 23.0, 2511027.0]","[4.0, 4.0, 1.0, 4.0, 4.0, 5.0]","[45314.0, 45636.0, 36978.0, 51058.0, 51081.0, 56508.0]",3,Value 1,Value 16,Value 3,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1101,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[3.0],[33154.0],1,Value 1,Value 27,Value 19,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1101,2,"['Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 4']","[0.0, 125.0]","[nan, 125.0]","[3.0, 3.0]","[33154.0, 33279.0]",1,Value 1,Value 27,Value 19,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1101,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 4', 'Value 4', 'Value 4']","[0.0, 125.0, 711484.0]","[nan, 125.0, 711359.0]","[3.0, 3.0, 4.0]","[33154.0, 33279.0, 53438.0]",1,Value 1,Value 27,Value 19,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1101,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 4', 'Value 4', 'Value 4', 'Value 5']","[0.0, 125.0, 711484.0, 3303508.0]","[nan, 125.0, 711359.0, 2592024.0]","[3.0, 3.0, 4.0, 6.0]","[33154.0, 33279.0, 53438.0, 53462.0]",1,Value 1,Value 27,Value 19,Value 1,Value 2,Value 1,Value 1,Value 1,Value 1
Case 1102,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[1.0],[47119.0],6,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1102,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 1']","[0.0, 7766.0]","[nan, 7766.0]","[1.0, 1.0]","[47119.0, 54885.0]",6,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1102,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 4']","[0.0, 7766.0, 596899.0]","[nan, 7766.0, 589133.0]","[1.0, 1.0, 1.0]","[47119.0, 54885.0, 39218.0]",6,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1102,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket']","['Value 1', 'Value 1', 'Value 4', 'Value 4']","[0.0, 7766.0, 596899.0, 596900.0]","[nan, 7766.0, 589133.0, 1.0]","[1.0, 1.0, 1.0, 1.0]","[47119.0, 54885.0, 39218.0, 39219.0]",6,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1102,5,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 1', 'Value 4', 'Value 4', 'Value 5']","[0.0, 7766.0, 596899.0, 596900.0, 3283551.0]","[nan, 7766.0, 589133.0, 1.0, 2686651.0]","[1.0, 1.0, 1.0, 1.0, 4.0]","[47119.0, 54885.0, 39218.0, 39219.0, 47470.0]",6,Value 1,Value 146,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1103,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[3.0],[36560.0],1,Value 1,Value 100,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1103,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 6']","[0.0, 816.0]","[nan, 816.0]","[3.0, 3.0]","[36560.0, 37376.0]",1,Value 1,Value 100,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1103,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 6', 'Value 6']","[0.0, 816.0, 81896.0]","[nan, 816.0, 81080.0]","[3.0, 3.0, 4.0]","[36560.0, 37376.0, 32056.0]",1,Value 1,Value 100,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1103,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 6', 'Value 6', 'Value 5']","[0.0, 816.0, 81896.0, 3801681.0]","[nan, 816.0, 81080.0, 3719785.0]","[3.0, 3.0, 4.0, 5.0]","[36560.0, 37376.0, 32056.0, 36641.0]",1,Value 1,Value 100,Value 3,Value 1,Value 2,Value 2,Value 2,Value 1,Value 2
Case 1104,1,['Assign seriousness'],['Value 1'],[0.0],[nan],[4.0],[54484.0],1,Value 1,Value 157,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1104,2,"['Assign seriousness', 'Take in charge ticket']","['Value 1', 'Value 2']","[0.0, 1619859.0]","[nan, 1619859.0]","[4.0, 2.0]","[54484.0, 32743.0]",1,Value 1,Value 157,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1104,3,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket']","['Value 1', 'Value 2', 'Value 4']","[0.0, 1619859.0, 3436257.0]","[nan, 1619859.0, 1816398.0]","[4.0, 2.0, 2.0]","[54484.0, 32743.0, 34741.0]",1,Value 1,Value 157,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1104,4,"['Assign seriousness', 'Take in charge ticket', 'Resolve ticket', 'Closed']","['Value 1', 'Value 2', 'Value 4', 'Value 3']","[0.0, 1619859.0, 3436257.0, 4732274.0]","[nan, 1619859.0, 1816398.0, 1296017.0]","[4.0, 2.0, 2.0, 3.0]","[54484.0, 32743.0, 34741.0, 34758.0]",1,Value 1,Value 157,Value 1,Value 1,Value 1,Value 2,Value 1,Value 1,Value 1
Case 1105,1,['Assign seriousness'],['Value 4'],[0.0],[nan],[1.0],[43584.0],118,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1105,2,"['Assign seriousness', 'Assign seriousness']","['Value 4', 'Value 6']","[0.0, 4266.0]","[nan, 4266.0]","[1.0, 1.0]","[43584.0, 47850.0]",118,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1105,3,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness']","['Value 4', 'Value 6', 'Value 6']","[0.0, 4266.0, 4267.0]","[nan, 4266.0, 1.0]","[1.0, 1.0, 1.0]","[43584.0, 47850.0, 47851.0]",118,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
Case 1105,4,"['Assign seriousness', 'Assign seriousness', 'Assign seriousness', 'Take in charge ticket']","['Value 4', 'Value 6', 'Value 6', 'Value 9']","[0.0, 4266.0, 4267.0, 157138.0]","[nan, 4266.0, 1.0, 152871.0]","[1.0, 1.0, 1.0, 3.0]","[43584.0, 47850.0, 47851.0, 27922.0]",118,Value 1,Value 28,Value 1,Value 1,Value 1,Value 3,Value 1,Value 1,Value 1
